Date,Drug,Actual,Forecasted,Error,Abs_Error_Pct,Upper,Lower,Period,MAPE_%
31/01/2014,M01AB (Diclofenac),127.69,101.33,,,,,Train,
28/02/2014,M01AB (Diclofenac),133.3,133.23,,,,,Train,
31/03/2014,M01AB (Diclofenac),137.44,146.9,,,,,Train,
30/04/2014,M01AB (Diclofenac),113.1,144.44,,,,,Train,
31/05/2014,M01AB (Diclofenac),101.79,130.56,,,,,Train,
30/06/2014,M01AB (Diclofenac),112.07,115.42,,,,,Train,
31/07/2014,M01AB (Diclofenac),117.06,136.39,,,,,Train,
31/08/2014,M01AB (Diclofenac),134.79,137.33,,,,,Train,
30/09/2014,M01AB (Diclofenac),108.78,117.03,,,,,Train,
31/10/2014,M01AB (Diclofenac),154.75,130.76,,,,,Train,
30/11/2014,M01AB (Diclofenac),138.08,133.83,,,,,Train,
31/12/2014,M01AB (Diclofenac),131.9,128.25,,,,,Train,
31/01/2015,M01AB (Diclofenac),135.91,91.28,,,,,Train,
28/02/2015,M01AB (Diclofenac),115.7,128.18,,,,,Train,
31/03/2015,M01AB (Diclofenac),156.04,138.41,,,,,Train,
30/04/2015,M01AB (Diclofenac),154.5,143.38,,,,,Train,
31/05/2015,M01AB (Diclofenac),160,141.13,,,,,Train,
30/06/2015,M01AB (Diclofenac),151.87,139.05,,,,,Train,
31/07/2015,M01AB (Diclofenac),175.61,164.45,,,,,Train,
31/08/2015,M01AB (Diclofenac),181.69,173.75,,,,,Train,
30/09/2015,M01AB (Diclofenac),166.22,156.32,,,,,Train,
31/10/2015,M01AB (Diclofenac),195.81,175.02,,,,,Train,
30/11/2015,M01AB (Diclofenac),152.78,177.22,,,,,Train,
31/12/2015,M01AB (Diclofenac),159.46,163.77,,,,,Train,
31/01/2016,M01AB (Diclofenac),171.65,124.62,,,,,Train,
29/02/2016,M01AB (Diclofenac),173.81,162.18,,,,,Train,
31/03/2016,M01AB (Diclofenac),156.64,179.02,,,,,Train,
30/04/2016,M01AB (Diclofenac),166.61,173.02,,,,,Train,
31/05/2016,M01AB (Diclofenac),167.36,165.97,,,,,Train,
30/06/2016,M01AB (Diclofenac),169.67,159.1,,,,,Train,
31/07/2016,M01AB (Diclofenac),203.97,183.88,,,,,Train,
31/08/2016,M01AB (Diclofenac),211.13,195.63,,,,,Train,
30/09/2016,M01AB (Diclofenac),172.96,180.28,,,,,Train,
31/10/2016,M01AB (Diclofenac),186.76,194.26,,,,,Train,
30/11/2016,M01AB (Diclofenac),175.18,188.7,,,,,Train,
31/12/2016,M01AB (Diclofenac),169.32,178.24,,,,,Train,
31/01/2017,M01AB (Diclofenac),0,137.83,,,,,Train,
28/02/2017,M01AB (Diclofenac),139.69,124.72,,,,,Train,
31/03/2017,M01AB (Diclofenac),162.85,142.48,,,,,Train,
30/04/2017,M01AB (Diclofenac),155.61,148.19,,,,,Train,
31/05/2017,M01AB (Diclofenac),143.7,144.93,,,,,Train,
30/06/2017,M01AB (Diclofenac),122.3,137.34,,,,,Train,
31/07/2017,M01AB (Diclofenac),159.7,155.1,,,,,Train,
31/08/2017,M01AB (Diclofenac),170.15,162.61,,,,,Train,
30/09/2017,M01AB (Diclofenac),138.3,145.07,,,,,Train,
31/10/2017,M01AB (Diclofenac),137.64,159.2,,,,,Train,
30/11/2017,M01AB (Diclofenac),163.85,149.79,,,,,Train,
